"","FIELDID","Method","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores"
"1","bell4","Seine",2016-09-16,721,10,1,3,1,0,96.9486823855756,88.2108183079057,0,6.24133148404993,11.7891816920943
"2","bish2","Seine",2017-06-23,185,8,1,3,0,0,88.6486486486487,38.9189189189189,0,8.64864864864865,61.0810810810811
"3","evan2","Seine",2016-10-06,317,6,0,2,1,0,97.7917981072555,95.8990536277603,0.315457413249211,8.83280757097792,3.78548895899054
"4","evan5","Seine",2021-06-11,91,3,0,0,0,0,100,100,0,20.8791208791209,0
"5","fel4","Seine",2014-09-19,107,8,1,2,0,0,46.7289719626168,23.3644859813084,0,54.2056074766355,75.7009345794392
"6","fel6","Seine",2014-09-19,95,10,1,3,1,1,67.3684210526316,48.4210526315789,2.10526315789474,32.6315789473684,48.4210526315789
"7","fowl2","Seine",2021-08-26,86,11,1,4,0,0,31.3953488372093,2.32558139534884,2.32558139534884,3.48837209302326,87.2093023255814
"8","fowl4","Seine",2021-08-26,96,13,2,3,1,0,73.9583333333333,45.8333333333333,0,36.4583333333333,53.125
"9","fowl5","Seine",2021-07-08,362,13,1,4,1,0,90.8839779005525,57.182320441989,1.65745856353591,1.10497237569061,41.1602209944751
"10","frank1","Seine",2015-09-18,304,5,0,0,1,1,95.0657894736842,95.0657894736842,0,94.7368421052632,4.93421052631579
"11","john1","Seine",2012-05-24,418,16,2,3,1,2,45.933014354067,40.4306220095694,0,22.9665071770335,35.8851674641148
"12","john6","Seine",2021-05-21,29,4,1,0,0,3,13.7931034482759,13.7931034482759,0,48.2758620689655,65.5172413793103
"13","low2","Seine",2014-08-23,435,13,1,4,1,0,63.6781609195402,53.1034482758621,1.37931034482759,20.9195402298851,23.2183908045977
"14","lr-10","Seine",2021-09-03,57,9,1,2,1,0,29.8245614035088,26.3157894736842,0,12.280701754386,66.6666666666667
"15","lr-11a","Seine",2021-09-03,106,12,1,2,0,1,5.66037735849057,5.66037735849057,0.943396226415094,3.77358490566038,93.3962264150943
"16","lr-12","Seine",2021-09-02,82,12,2,3,1,1,37.8048780487805,28.0487804878049,0,7.31707317073171,69.5121951219512
"17","lr-2","Seine",2021-08-27,171,11,1,3,0,0,14.6198830409357,2.33918128654971,0.584795321637427,1.16959064327485,83.0409356725146
"18","lr-5","Seine",2016-08-25,176,10,1,3,1,0,91.4772727272727,40.3409090909091,0,17.0454545454545,59.6590909090909
"19","lr-6","Seine",2014-08-01,62,10,2,3,1,0,50,19.3548387096774,4.83870967741935,22.5806451612903,75.8064516129032
"20","main10","Seine",2014-09-26,570,12,1,4,0,2,3.68421052631579,3.68421052631579,1.57894736842105,0.175438596491228,94.3859649122807
"21","main11","Seine",2016-09-28,124,9,0,4,1,1,33.0645161290323,33.0645161290323,17.741935483871,5.64516129032258,49.1935483870968
"22","main12","Seine",2020-08-07,629,18,1,4,2,1,22.0985691573927,21.7806041335453,2.22575516693164,0.476947535771065,59.9364069952305
"23","main12n","Seine",2020-08-07,396,18,2,4,0,0,13.8888888888889,12.8787878787879,5.05050505050505,1.51515151515152,80.3030303030303
"24","main13","Seine",2018-06-01,366,12,1,4,1,1,9.01639344262295,8.19672131147541,3.00546448087432,62.8415300546448,67.75956284153
"25","main18","Seine",2018-06-01,166,10,1,3,1,2,69.2771084337349,56.0240963855422,0.602409638554217,26.5060240963855,41.566265060241
"26","main19","Seine",2018-06-22,125,13,2,4,1,2,68,24.8,2.4,36,72.8
"27","main3","Seine",2016-09-28,218,10,1,2,1,1,48.6238532110092,26.1467889908257,4.12844036697248,37.6146788990826,58.7155963302752
"28","main5","Seine",2018-09-28,97,13,1,4,1,2,59.7938144329897,42.2680412371134,1.03092783505155,25.7731958762887,52.5773195876289
"29","main6","Seine",2015-09-18,231,11,2,2,1,1,70.1298701298701,57.1428571428571,0,43.7229437229437,28.5714285714286
"30","min2","Seine",2012-05-17,295,13,2,2,1,3,44.7457627118644,29.4915254237288,0,59.3220338983051,69.1525423728814
"31","mn-2","Seine",2020-07-31,162,5,1,2,1,0,99.3827160493827,91.9753086419753,0,1.23456790123457,8.02469135802469
"32","mn-5","Seine",2017-09-14,157,13,2,4,1,1,84.0764331210191,39.4904458598726,1.91082802547771,19.7452229299363,49.6815286624204
"33","mn-7a","Seine",2021-08-20,130,8,1,3,1,0,57.6923076923077,56.1538461538462,0,0.769230769230769,43.8461538461538
"34","mr-11","Seine",2016-06-17,153,8,1,2,1,1,43.7908496732026,15.6862745098039,1.30718954248366,15.6862745098039,83.0065359477124
"35","mr-15","Seine",2016-06-24,81,6,1,0,1,0,88.8888888888889,49.3827160493827,0,16.0493827160494,50.6172839506173
"36","mr-18","Seine",2021-05-22,12,5,1,2,0,3,8.33333333333333,16.6666666666667,66.6666666666667,16.6666666666667,16.6666666666667
"37","mr-4","Seine",2021-05-22,21,6,0,3,1,2,9.52380952380952,9.52380952380952,33.3333333333333,9.52380952380952,57.1428571428571
"38","mr-9","Seine",2016-06-17,46,9,1,0,1,0,82.6086956521739,80.4347826086957,0,26.0869565217391,19.5652173913043
"39","peb2","Seine",2017-04-26,419,7,0,0,1,0,93.3174224343675,93.3174224343675,0,58.7112171837709,3.81861575178998
"40","see3","Seine",2020-07-29,209,14,1,3,1,1,65.0717703349282,54.066985645933,1.43540669856459,46.4114832535885,31.578947368421
"41","tar2","Seine",2016-09-22,566,10,1,3,1,0,76.678445229682,59.5406360424028,0.176678445229682,30.0353356890459,40.2826855123675
"42","ton1","Seine",2015-08-28,117,10,2,2,1,2,50.4273504273504,49.5726495726496,1.70940170940171,12.8205128205128,48.7179487179487
"43","ton3","Seine",2015-08-28,64,10,1,3,0,0,75,70.3125,0,21.875,28.125
"44","up1","Seine",2021-06-10,108,11,2,2,2,3,39.8148148148148,28.7037037037037,0,75,70.3703703703704
"45","ur-1","Seine",2019-05-14,178,11,2,1,1,0,94.9438202247191,71.9101123595506,0,7.30337078651685,26.4044943820225
"46","ur-2","Seine",2021-06-10,213,7,1,0,1,0,76.5258215962441,49.2957746478873,0,31.4553990610329,50.7042253521127
"47","wall2","Seine",2015-09-11,276,8,1,1,1,0,99.6376811594203,96.7391304347826,0,36.5942028985507,3.26086956521739
"48","will1","Seine",2015-10-16,196,6,1,0,1,0,96.4285714285714,93.3673469387755,0,34.6938775510204,6.12244897959184
"49","bell4","Shocking",2022-06-17,117,8,1,1,1,0,93.1623931623932,58.1196581196581,0,5.12820512820513,41.8803418803419
"50","bish2","Shocking",2022-07-06,83,7,1,2,1,0,93.9759036144578,90.3614457831325,4.81927710843374,12.0481927710843,4.81927710843374
"51","evan2","Shocking",2022-07-29,42,5,0,1,1,0,95.2380952380952,95.2380952380952,0,40.4761904761905,4.76190476190476
"52","evan5","Shocking",2022-07-29,38,5,0,0,1,0,100,100,0,55.2631578947368,0
"53","fel4","Shocking",2022-07-11,227,11,2,3,1,0,57.7092511013216,34.8017621145374,0,45.8149779735683,63.8766519823789
"54","fel6","Shocking",2022-06-13,34,6,0,1,1,0,88.2352941176471,67.6470588235294,0,20.5882352941176,32.3529411764706
"55","fowl2","Shocking",2022-07-19,127,14,1,4,1,0,61.4173228346457,25.9842519685039,2.36220472440945,18.8976377952756,64.5669291338583
"56","fowl4","Shocking",2022-07-18,181,10,1,2,1,0,86.7403314917127,58.0110497237569,0,37.0165745856354,41.9889502762431
"57","fowl5","Shocking",2022-07-18,82,7,1,2,0,0,90.2439024390244,43.9024390243902,0,6.09756097560976,56.0975609756098
"58","frank1","Shocking",2022-07-07,311,7,0,0,1,1,74.5980707395498,74.5980707395498,0,50.1607717041801,23.4726688102894
"59","john1","Shocking",2022-07-12,368,14,2,3,1,2,54.8913043478261,52.1739130434783,0.271739130434783,30.7065217391304,38.8586956521739
"60","john6","Shocking",2022-08-09,137,13,1,5,1,4,45.2554744525547,42.3357664233577,2.18978102189781,29.9270072992701,35.7664233576642
"61","low2","Shocking",2022-07-26,56,5,1,1,0,0,87.5,39.2857142857143,0,26.7857142857143,60.7142857142857
"62","lr-10","Shocking",2022-07-05,76,11,0,2,1,0,60.5263157894737,32.8947368421053,0,17.1052631578947,61.8421052631579
"63","lr-11a","Shocking",2022-07-05,29,14,1,3,1,2,27.5862068965517,27.5862068965517,6.89655172413793,10.3448275862069,37.9310344827586
"64","lr-12","Shocking",2022-07-20,140,15,2,4,2,1,45,31.4285714285714,0.714285714285714,25.7142857142857,63.5714285714286
"65","lr-2","Shocking",2022-07-19,138,15,1,2,2,2,42.0289855072464,13.768115942029,1.44927536231884,5.79710144927536,71.7391304347826
"66","lr-5","Shocking",2022-07-11,99,10,1,3,1,0,64.6464646464647,34.3434343434343,0,22.2222222222222,63.6363636363636
"67","lr-6","Shocking",2022-06-28,107,15,1,3,2,1,40.1869158878505,27.1028037383178,0.934579439252336,23.3644859813084,71.0280373831776
"68","main10","Shocking",2022-07-22,78,18,0,5,2,2,52.5641025641026,50,23.0769230769231,3.84615384615385,15.3846153846154
"69","main11","Shocking",2022-06-29,107,9,0,5,1,1,14.018691588785,14.018691588785,23.3644859813084,7.47663551401869,61.6822429906542
"70","main12","Shocking",2022-07-22,110,15,0,4,2,1,45.4545454545455,47.2727272727273,7.27272727272727,10.9090909090909,20
"71","main12n","Shocking",2022-07-22,31,13,0,5,1,0,38.7096774193548,38.7096774193548,9.67741935483871,6.45161290322581,16.1290322580645
"72","main13","Shocking",2022-06-24,143,10,1,4,1,1,41.2587412587413,17.4825174825175,4.1958041958042,54.5454545454545,72.7272727272727
"73","main18","Shocking",2022-06-24,137,9,1,4,1,1,51.8248175182482,32.8467153284672,3.64963503649635,37.2262773722628,63.5036496350365
"74","main19","Shocking",2022-06-30,81,10,2,4,1,1,44.4444444444444,32.0987654320988,2.46913580246914,66.6666666666667,65.4320987654321
"75","main3","Shocking",2022-06-29,90,7,0,1,1,2,36.6666666666667,36.6666666666667,23.3333333333333,62.2222222222222,36.6666666666667
"76","main5","Shocking",2022-06-23,79,12,2,2,1,2,32.9113924050633,30.379746835443,5.06329113924051,65.8227848101266,53.1645569620253
"77","main6","Shocking",2022-07-07,407,18,2,4,1,2,72.7272727272727,59.4594594594595,4.42260442260442,59.4594594594595,31.4496314496315
"78","min2","Shocking",2022-06-16,87,10,1,2,1,1,36.7816091954023,27.5862068965517,0,16.0919540229885,67.816091954023
"79","mn-2","Shocking",2022-06-23,34,3,1,1,1,0,94.1176470588235,94.1176470588235,0,97.0588235294118,5.88235294117647
"80","mn-5","Shocking",2022-07-27,63,9,2,4,1,1,65.0793650793651,49.2063492063492,19.047619047619,55.5555555555556,31.7460317460317
"81","mn-7a","Shocking",2022-07-27,168,14,1,4,1,1,81.547619047619,79.1666666666667,1.19047619047619,55.952380952381,17.8571428571429
"82","mr-11","Shocking",2022-07-05,44,14,1,3,1,1,27.2727272727273,25,15.9090909090909,15.9090909090909,59.0909090909091
"83","mr-15","Shocking",2022-06-22,21,10,2,3,0,1,19.047619047619,9.52380952380952,9.52380952380952,19.047619047619,80.952380952381
"84","mr-18","Shocking",2022-08-09,102,13,1,6,1,2,43.1372549019608,41.1764705882353,51.9607843137255,22.5490196078431,6.86274509803922
"85","mr-4","Shocking",2022-07-13,41,9,0,4,0,2,4.8780487804878,12.1951219512195,43.9024390243902,0,39.0243902439024
"86","mr-9","Shocking",2022-07-13,60,10,0,3,1,1,66.6666666666667,63.3333333333333,5,55,30
"87","peb2","Shocking",2022-06-30,120,5,0,1,1,0,99.1666666666667,98.3333333333333,0,80.8333333333333,1.66666666666667
"88","see3","Shocking",2022-06-15,83,11,1,2,1,1,68.6746987951807,62.6506024096386,0,53.0120481927711,34.9397590361446
"89","tar2","Shocking",2022-06-17,171,8,1,2,1,0,69.0058479532164,64.9122807017544,0,46.1988304093567,35.0877192982456
"90","ton1","Shocking",2022-06-14,42,7,1,3,0,2,61.9047619047619,57.1428571428571,2.38095238095238,26.1904761904762,40.4761904761905
"91","ton3","Shocking",2022-06-14,64,8,1,2,1,0,82.8125,71.875,0,45.3125,28.125
"92","up1","Shocking",2022-06-16,95,13,2,3,2,4,46.3157894736842,38.9473684210526,0,63.1578947368421,58.9473684210526
"93","ur-1","Shocking",2022-06-27,107,10,1,2,1,0,82.2429906542056,58.8785046728972,0,37.3831775700935,40.1869158878505
"94","ur-2","Shocking",2022-06-27,136,8,1,1,1,0,83.8235294117647,79.4117647058823,0,41.1764705882353,20.5882352941176
"95","wall2","Shocking",2022-07-06,131,6,1,2,1,0,99.236641221374,96.9465648854962,0,75.5725190839695,3.05343511450382
"96","will1","Shocking",2022-07-26,239,8,1,2,1,0,97.489539748954,65.6903765690377,0.418410041841004,33.0543933054393,33.0543933054393
