"","FIELDID","COMID","year","month","Method","TotalFish","Total_score","FinalScore","Intreptation","Branch","StreamName","DateSampled","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score"
"50","mid2","10849642",1972,"7","Shocking",27,-7,-12,"poorlowfish","Middle","Middle Rouge",1972,4,0,2,0,0,3.7037037037037,11.1111111111111,0,0,88.8888888888889,20,14,10,3,2,3,2,2,2,3.8,1.92,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1
"51","mid3","10849648",1972,"7","Shocking",180,-2,-2,"acceptable:negative","Middle","Middle Rouge",1972,9,0,4,1,0,65.5555555555556,65.5555555555556,0,2.22222222222222,33.3333333333333,20,14,10,3,2,3,2,2,2,3.8,1.92,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,1,1,0,-1,0
"52","middle1","10849670",1972,"7","Shocking",1,-6,-12,"poorlowfish","Middle","Middle Rouge",1972,1,0,0,0,0,100,100,0,0,0,20,14,10,3,2,3,2,2,2,3.8,1.92,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
"53","middle3","10849642",1986,"7","Shocking",215,-3,-3,"acceptable:negative","Middle","Middle Rouge",1986,11,1,5,1,1,21.8604651162791,21.3953488372093,26.046511627907,12.093023255814,48.3720930232558,20,14,10,3,2,3,2,2,2,3.8,1.92,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,-1,-1,0,1,0
"54","middle4","10849642",1972,"7","Shocking",54,-5,-5,"poor","Middle","Middle Rouge",1972,7,0,4,0,1,1.85185185185185,1.85185185185185,1.85185185185185,0,90.7407407407407,20,14,10,3,2,3,2,2,2,3.8,1.92,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,-1,-1,1,0,-1
"55","middle7","10850304",1972,"7","Shocking",92,1,1,"acceptable:postive","Middle","Middle Rouge",1972,9,1,2,1,0,90.2173913043478,89.1304347826087,2.17391304347826,58.695652173913,8.69565217391304,11,13.2,8.36,2.42,1.21,1.87,0.935,1.54,0.726,2.09,1.056,39,75,31,72,62,15,3,1,47,1,0,-1,1,0,-1,1,1,-1,0,1
"56","min2","10849378",1995,"7","Shocking",522,0,0,"neutral","Upper","Minnow Pond",1995,13,1,4,1,1,62.2605363984674,51.5325670498084,2.10727969348659,28.544061302682,36.0153256704981,15.75,14,10,3,2,2.6775,1.33875,2,2,2.9925,1.512,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,1,1,0,0,0
"57","mn-2","10849618",1972,"7","Shocking",3,-6,-12,"poorlowfish","Main","Main Rouge",1972,2,0,0,0,0,100,100,0,0,0,34.6333333333334,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
"58","mn-2dnr","10848602",1986,"7","Shocking",165,-3,-3,"acceptable:negative","Main","Main Rouge",1986,9,0,3,1,1,72.7272727272727,71.5151515151515,0.606060606060606,38.1818181818182,23.030303030303,20.7333333333333,14,10,3,2,3,2,2,2,3.93933333333333,1.9904,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,-1,0
"59","mn-2dnr","10848602",1995,"7","Shocking",313,1,1,"acceptable:postive","Main","Main Rouge",1995,14,1,5,1,1,74.7603833865815,72.8434504792332,4.15335463258786,30.6709265175719,18.5303514376997,20.7333333333333,14,10,3,2,3,2,2,2,3.93933333333333,1.9904,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,1,1,0,1,0
"60","mn-3dnr","10849438",1986,"7","Shocking",29,0,-12,"poorlowfish","Main","Main Rouge",1986,7,0,2,1,1,75.8620689655172,62.0689655172414,6.89655172413793,48.2758620689655,31.0344827586207,33.1,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,1,1
"61","mn-3dnr","10849438",1995,"7","Shocking",273,-2,-2,"acceptable:negative","Main","Main Rouge",1995,11,2,1,1,0,94.5054945054945,76.1904761904762,0,39.9267399267399,22.7106227106227,33.1,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,0,0,-1,-1,-1,1,1,0,-1,0
"62","mn-4","10850152",1972,"7","Shocking",0,0,-12,"poorlowfish","Main","Main Rouge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","mn-7a","10850152",1986,"7","Shocking",19,-6,-12,"poorlowfish","Main","Main Rouge",1986,2,0,0,0,0,100,100,0,0,0,67.2333333333333,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
"64","mn-7a","10850152",1995,"7","Shocking",8,-5,-12,"poorlowfish","Main","Main Rouge",1995,5,0,1,0,0,75,75,0,0,25,67.2333333333333,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,0,-1,-1
"65","mn-7dnr","10848448",1995,"7","Shocking",138,-6,-6,"poor","Main","Quarton Branch",1995,5,0,4,0,0,2.89855072463768,0.72463768115942,94.9275362318841,0,4.34782608695652,11,13.2,8.36,2.42,1.21,1.87,0.935,1.54,0.726,2.09,1.056,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1
"66","mr-1","10850296",1986,"7","Shocking",165,0,0,"neutral","Middle","Middle Rouge",1986,13,1,3,1,3,62.4242424242424,58.1818181818182,1.21212121212121,23.030303030303,37.5757575757576,24,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,0,-1,0,-1,0,1,1,0,0,0
"67","mr-1","10850296",1995,"7","Shocking",253,0,0,"neutral","Middle","Middle Rouge",1995,14,1,4,1,1,66.798418972332,62.4505928853755,1.18577075098814,18.5770750988142,34.3873517786561,24,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,1,1,0,0,0
"68","mr-18","10849622",1972,"7","Shocking",124,0,0,"neutral","Middle","Middle Rouge",1972,11,0,5,1,0,51.6129032258064,51.6129032258064,1.61290322580645,24.1935483870968,36.2903225806452,30.1166666666666,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,1,1,0,0,0
"69","mr-4","10849648",1986,"7","Shocking",150,0,0,"neutral","Middle","Middle Rouge",1986,13,1,5,1,2,38,31.3333333333333,24.6666666666667,6.66666666666667,42,28,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,0,-1,1,0,1,0
"70","mr-7","10850156",1986,"7","Shocking",13,-6,-12,"poorlowfish","Middle","Middle Rouge",1986,4,0,0,0,0,100,100,0,0,0,37.7,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
"71","mr-8","10850156",1986,"7","Shocking",32,-5,-12,"poorlowfish","Middle","Middle Rouge",1986,6,0,0,1,0,96.875,96.875,0,9.375,3.125,33,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
"72","mr-8","10850156",1995,"7","Shocking",11,-2,-12,"poorlowfish","Middle","Middle Rouge",1995,6,0,1,1,1,81.8181818181818,81.8181818181818,9.09090909090909,54.5454545454545,9.09090909090909,33,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,1,1
"73","nfowl","10849780",1972,"7","Shocking",0,0,-12,"poorlowfish","Lower","Fowler Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","peb3","10848526",1995,"7","Shocking",116,-4,-4,"poor","Main","Pebble Creek",1995,7,0,0,1,1,80.1724137931034,80.1724137931034,0,22.4137931034483,17.2413793103448,15,14,10,3,2,2.55,1.275,2,2,2.85,1.44,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,0,-1,0
"75","peb4","10849412",1972,"7","Shocking",99,-2,-2,"acceptable:negative","Main","Pebble Creek",1972,7,0,2,1,0,82.8282828282828,82.8282828282828,0,75.7575757575758,17.1717171717172,18.5695544,14,10,3,2,3.156824248,1.578412124,2,2,3.528215336,1.7826772224,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,-1,1
"76","thorton12","10849466",1972,"7","Shocking",16,2,-12,"poorlowfish","Main","Walled Lk Drainage",1972,5,0,2,1,0,56.25,62.5,0,25,37.5,4,4.8,3.04,0.88,0.44,0.68,0.34,0.56,0.264,0.76,0.384,39,75,31,72,62,15,3,1,47,1,1,-1,1,1,-1,1,1,0,-1,0
"77","ton3","10849700",1972,"7","Shocking",3,-5,-12,"poorlowfish","Middle","Tonquish Creek",1972,2,0,1,0,0,66.6666666666667,66.6666666666667,0,0,33.3333333333333,14.9860019555556,14,10,3.29692043022223,1.64846021511112,2.54762033244445,1.27381016622223,2.09804027377778,0.98907612906667,2.84734037155556,1.43865618773334,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,0,-1,-1
"78","ton3","10849700",1995,"7","Shocking",137,0,0,"neutral","Middle","Tonquish Creek",1995,11,0,3,1,0,78.1021897810219,57.6642335766423,0,36.4963503649635,42.3357664233577,14.9860019555556,14,10,3.29692043022223,1.64846021511112,2.54762033244445,1.27381016622223,2.09804027377778,0.98907612906667,2.84734037155556,1.43865618773334,39,75,31,72,62,15,3,1,47,1,0,-1,1,0,-1,1,1,0,-1,0
"79","tonquishcreek17","10849668",1972,"7","Shocking",2,-6,-12,"poorlowfish","Middle","Tonquish Creek",1972,1,0,0,0,0,100,100,0,0,0,22.4350398,14,10,3,2,3,2,2,2,4.262657562,2.1537638208,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
"80","tonquishcreek17","10849668",1986,"7","Shocking",106,-5,-5,"poor","Middle","Tonquish Creek",1986,6,0,0,1,0,99.0566037735849,99.0566037735849,0,20.7547169811321,0.943396226415094,22.4350398,14,10,3,2,3,2,2,2,4.262657562,2.1537638208,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
"81","tonquishcreek17","10849668",1995,"7","Shocking",125,0,0,"neutral","Middle","Tonquish Creek",1995,10,0,4,1,0,84.8,64,1.6,38.4,34.4,22.4350398,14,10,3,2,3,2,2,2,4.262657562,2.1537638208,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,1,1,0,0,0
"82","tonquishcreek19","10849684",1972,"7","Shocking",1,-6,-12,"poorlowfish","Middle","Tonquish Creek",1972,1,0,1,0,0,100,0,0,0,100,16.7979008,14,10,3,2,2.855643136,1.427821568,2,2,3.191601152,1.6125984768,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
"83","tonquishcreek20","10850148",1972,"7","Shocking",3,0,-12,"poorlowfish","Middle","Willow Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","u-4","10849608",1986,"7","Shocking",62,-4,-4,"poor","Upper","Bell Branch",1986,9,0,1,1,0,93.5483870967742,90.3225806451613,0,50,8.06451612903226,22,14,10,3,2,3,2,2,2,4.18,2.112,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,1
"85","u-4","10849608",1995,"7","Shocking",230,-2,-2,"acceptable:negative","Upper","Bell Branch",1995,10,0,3,1,0,92.1739130434783,90.4347826086957,2.60869565217391,8.69565217391304,6.95652173913043,22,14,10,3,2,3,2,2,2,4.18,2.112,39,75,31,72,62,15,3,1,47,1,0,-1,0,-1,-1,1,1,-1,0,0
"86","u-7","10849532",1972,"7","Shocking",21,-4,-12,"poorlowfish","Upper","Tarabusi Creek",1972,3,0,0,1,0,95.2380952380952,95.2380952380952,0,28.5714285714286,4.76190476190476,12.2913388,14,10,2.704094536,1.352047268,2.089527596,1.044763798,1.720787432,0.8112283608,2.335354372,1.1799685248,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,-1,-1,0
"87","u-7","10849532",1995,"7","Shocking",466,-2,-2,"acceptable:negative","Upper","Tarabusi Creek",1995,8,0,3,1,0,92.7038626609442,92.274678111588,0.214592274678112,35.6223175965665,7.51072961373391,12.2913388,14,10,2.704094536,1.352047268,2.089527596,1.044763798,1.720787432,0.8112283608,2.335354372,1.1799685248,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,-1,-1,0
"88","up2","10849602",1986,"7","Shocking",213,2,2,"acceptable:postive","Upper","Upper Rouge",1986,14,0,4,2,4,74.1784037558685,70.4225352112676,0.469483568075117,37.0892018779343,28.169014084507,18,14,10,3,2,3.06,1.53,2,2,3.42,1.728,39,75,31,72,62,15,3,1,47,1,0,-1,1,0,1,1,1,0,-1,0
"89","up2","10849602",1995,"7","Shocking",460,2,2,"acceptable:postive","Upper","Upper Rouge",1995,16,1,2,2,4,60.4347826086956,54.3478260869565,0.434782608695652,25.4347826086956,44.1304347826087,18,14,10,3,2,3.06,1.53,2,2,3.42,1.728,39,75,31,72,62,15,3,1,47,1,1,-1,0,0,1,1,1,0,-1,0
"90","up6","10849602",1972,"7","Shocking",9,-2,-12,"poorlowfish","Upper","Upper Rouge",1972,6,0,3,0,0,44.4444444444444,33.3333333333333,11.1111111111111,0,55.5555555555556,26.7716544,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,1,-1
"91","up6","10849602",1986,"7","Shocking",40,-4,-12,"poorlowfish","Upper","Upper Rouge",1986,5,0,1,1,0,87.5,80,0,30,20,26.7716544,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,0,-1,0
"92","upper1","10849602",1972,"7","Shocking",0,0,-12,"poorlowfish","Upper","Upper Rouge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","upper3","10849602",1972,"7","Shocking",0,0,-12,"poorlowfish","Upper","Upper Rouge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","upper4","10849602",1972,"7","Shocking",47,-5,-12,"poorlowfish","Upper","Upper Rouge",1972,7,1,0,1,1,89.3617021276596,89.3617021276596,0,42.5531914893617,10.6382978723404,26.7716544,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
"95","upper5","10849374",1972,"7","Shocking",13,-1,-12,"poorlowfish","Upper","Upper Rouge",1972,5,0,0,1,1,61.5384615384615,61.5384615384615,0,53.8461538461538,38.4615384615385,9.823491,11.7881892,7.46585316,2.16116802,1.08058401,1.66999347,0.834996735,1.37528874,0.648350406,1.86646329,0.943055136,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,0,1,1,0,-1,1
"96","upper5","10849374",1995,"7","Shocking",108,1,1,"acceptable:postive","Upper","Upper Rouge",1995,7,0,2,1,2,49.0740740740741,37.962962962963,0.925925925925926,12.962962962963,61.1111111111111,9.823491,11.7881892,7.46585316,2.16116802,1.08058401,1.66999347,0.834996735,1.37528874,0.648350406,1.86646329,0.943055136,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,1,1,1,0,-1,0
"97","upper6","10849378",1972,"7","Shocking",22,-5,-12,"poorlowfish","Upper","Upper Rouge",1972,8,0,1,1,0,77.2727272727273,81.8181818181818,0,22.7272727272727,9.09090909090909,15.9776908,14,10,3,2,2.716207436,1.358103718,2,2,3.035761252,1.5338583168,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
"98","ur-4","10849602",1986,"7","Shocking",42,0,-12,"poorlowfish","Upper","Upper Rouge",1986,10,0,3,1,0,80.952380952381,83.3333333333333,2.38095238095238,59.5238095238095,7.14285714285714,17,14,10,3,2,2.89,1.445,2,2,3.23,1.632,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,1,1,-1,0,1
"99","ur-4","10849602",1995,"7","Shocking",58,-2,-2,"acceptable:negative","Upper","Upper Rouge",1995,6,0,2,1,0,94.8275862068966,89.6551724137931,3.44827586206897,44.8275862068966,6.89655172413793,17,14,10,3,2,2.89,1.445,2,2,3.23,1.632,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,-1,1,0
"100","wall1","10849464",1972,"7","Shocking",2,-8,-12,"poorlowfish","Middle","Walled Lk Drainage",1972,1,0,0,0,0,0,0,0,0,100,26.5419956,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
"101","wall2","10849416",1972,"7","Shocking",114,-5,-5,"poor","Middle","Walled Lk Drainage",1972,3,0,1,0,0,98.2456140350877,98.2456140350877,0,0,1.75438596491228,7.63333333333335,9.16000000000002,5.80133333333335,1.67933333333334,0.839666666666668,1.29766666666667,0.648833333333335,1.06866666666667,0.503800000000001,1.45033333333334,0.732800000000002,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,-1,-1,-1
"102","wall5","10849382",1986,"7","Shocking",25,-3,-12,"poorlowfish","Middle","Walled Lk Drainage",1986,5,0,1,1,0,96,88,0,4,12,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,-1,0,0,-1,1,1,-1,-1,0
"103","wall5","10849382",1995,"7","Shocking",25,-5,-12,"poorlowfish","Middle","Walled Lk Drainage",1995,2,0,1,0,0,100,96,0,0,4,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,-1,-1,-1
"104","will2","10850148",1972,"7","Shocking",10,-2,-12,"poorlowfish","Middle","Willow Creek",1972,4,0,1,1,0,90,80,0,50,20,12.5,14,10,2.75,1.375,2.125,1.0625,1.75,0.825,2.375,1.2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,0,-1,1
