"","FIELDID","COMID","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score","Total_score"
"51","mid2","10849642",1972,27,4,0,2,0,0,3.7037037037037,11.1111111111111,0,0,88.8888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,-1,1,-1,-1,NA
"52","mid3","10849648",1972,180,9,0,4,1,0,65.5555555555556,65.5555555555556,0,2.22222222222222,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"53","middle1","10849670",1972,1,1,0,0,0,0,100,100,0,0,0,20,14,10,3,2,3,2,2,2,3.8,1.92,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-6
"54","middle3","10849642",1986,215,11,1,5,1,1,21.8604651162791,21.3953488372093,26.046511627907,12.093023255814,48.3720930232558,20,14,10,3,2,3,2,2,2,3.8,1.92,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,-1,-1,0,1,0,-3
"55","middle4","10849642",1972,54,7,0,4,0,1,1.85185185185185,1.85185185185185,1.85185185185185,0,90.7407407407407,20,14,10,3,2,3,2,2,2,3.8,1.92,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-5
"56","middle7","10850304",1972,92,9,1,2,1,0,90.2173913043478,89.1304347826087,2.17391304347826,58.695652173913,8.69565217391304,11,13.2,8.36,2.42,1.21,1.87,0.935,1.54,0.726,2.09,1.056,39,75,31,72,62,15,3,1,47,1,0,-1,1,0,-1,1,1,-1,0,1,1
"57","min2","10849378",1995,522,13,1,4,1,1,62.2605363984674,51.5325670498084,2.10727969348659,28.544061302682,36.0153256704981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA
"58","mn-2","10849618",1972,3,2,0,0,0,0,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"59","mn-2dnr","10848602",1986,165,9,0,3,1,1,72.7272727272727,71.5151515151515,0.606060606060606,38.1818181818182,23.030303030303,20.7333333333333,14,10,3,2,3,2,2,2,3.93933333333333,1.9904,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,-1,0,-3
"60","mn-2dnr","10848602",1995,313,14,1,5,1,1,74.7603833865815,72.8434504792332,4.15335463258786,30.6709265175719,18.5303514376997,20.7333333333333,14,10,3,2,3,2,2,2,3.93933333333333,1.9904,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,1,1,0,1,0,1
"61","mn-3dnr","10849438",1986,29,7,0,2,1,1,75.8620689655172,62.0689655172414,6.89655172413793,48.2758620689655,31.0344827586207,33.1,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,1,1,0
"62","mn-3dnr","10849438",1995,273,11,2,1,1,0,94.5054945054945,76.1904761904762,0,39.9267399267399,22.7106227106227,33.1,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,0,0,-1,-1,-1,1,1,0,-1,0,-2
"63","mn-4","10850152",1972,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
"64","mn-7a","10850152",1986,19,2,0,0,0,0,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"65","mn-7a","10850152",1995,8,5,0,1,0,0,75,75,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,-1,NA
"66","mn-7dnr","10848448",1995,138,5,0,4,0,0,2.89855072463768,0.72463768115942,94.9275362318841,0,4.34782608695652,11,13.2,8.36,2.42,1.21,1.87,0.935,1.54,0.726,2.09,1.056,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-6
"67","mr-1","10850296",1986,165,13,1,3,1,3,62.4242424242424,58.1818181818182,1.21212121212121,23.030303030303,37.5757575757576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA
"68","mr-1","10850296",1995,253,14,1,4,1,1,66.798418972332,62.4505928853755,1.18577075098814,18.5770750988142,34.3873517786561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA
"69","mr-18","10849622",1972,124,11,0,5,1,0,51.6129032258064,51.6129032258064,1.61290322580645,24.1935483870968,36.2903225806452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA
"70","mr-4","10849648",1986,150,13,1,5,1,2,38,31.3333333333333,24.6666666666667,6.66666666666667,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,1,0,1,0,NA
"71","mr-7","10850156",1986,13,4,0,0,0,0,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"72","mr-8","10850156",1986,32,6,0,0,1,0,96.875,96.875,0,9.375,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,0,NA
"73","mr-8","10850156",1995,11,6,0,1,1,1,81.8181818181818,81.8181818181818,9.09090909090909,54.5454545454545,9.09090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,1,1,NA
"74","nfowl","10849780",1972,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
"75","peb3","10848526",1995,116,7,0,0,1,1,80.1724137931034,80.1724137931034,0,22.4137931034483,17.2413793103448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"76","peb4","10849412",1972,99,7,0,2,1,0,82.8282828282828,82.8282828282828,0,75.7575757575758,17.1717171717172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,1,NA
"77","thorton12","10849466",1972,16,5,0,2,1,0,56.25,62.5,0,25,37.5,4,4.8,3.04,0.88,0.44,0.68,0.34,0.56,0.264,0.76,0.384,39,75,31,72,62,15,3,1,47,1,1,-1,1,1,-1,1,1,0,-1,0,2
"78","ton3","10849700",1972,3,2,0,1,0,0,66.6666666666667,66.6666666666667,0,0,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,-1,NA
"79","ton3","10849700",1995,137,11,0,3,1,0,78.1021897810219,57.6642335766423,0,36.4963503649635,42.3357664233577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"80","tonquishcreek17","10849668",1972,2,1,0,0,0,0,100,100,0,0,0,22.4350398,14,10,3,2,3,2,2,2,4.262657562,2.1537638208,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-6
"81","tonquishcreek17","10849668",1986,106,6,0,0,1,0,99.0566037735849,99.0566037735849,0,20.7547169811321,0.943396226415094,22.4350398,14,10,3,2,3,2,2,2,4.262657562,2.1537638208,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-5
"82","tonquishcreek17","10849668",1995,125,10,0,4,1,0,84.8,64,1.6,38.4,34.4,22.4350398,14,10,3,2,3,2,2,2,4.262657562,2.1537638208,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,1,1,0,0,0,0
"83","tonquishcreek19","10849684",1972,1,1,0,1,0,0,100,0,0,0,100,16.7979008,14,10,3,2,2.855643136,1.427821568,2,2,3.191601152,1.6125984768,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-6
"84","tonquishcreek20","10850148",1972,3,2,0,0,0,0,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"85","u-4","10849608",1986,62,9,0,1,1,0,93.5483870967742,90.3225806451613,0,50,8.06451612903226,22,14,10,3,2,3,2,2,2,4.18,2.112,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-4
"86","u-4","10849608",1995,230,10,0,3,1,0,92.1739130434783,90.4347826086957,2.60869565217391,8.69565217391304,6.95652173913043,22,14,10,3,2,3,2,2,2,4.18,2.112,39,75,31,72,62,15,3,1,47,1,0,-1,0,-1,-1,1,1,-1,0,0,-2
"87","u-7","10849532",1972,21,3,0,0,1,0,95.2380952380952,95.2380952380952,0,28.5714285714286,4.76190476190476,12.2913388,14,10,2.704094536,1.352047268,2.089527596,1.044763798,1.720787432,0.8112283608,2.335354372,1.1799685248,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,-1,-1,0,-4
"88","u-7","10849532",1995,466,8,0,3,1,0,92.7038626609442,92.274678111588,0.214592274678112,35.6223175965665,7.51072961373391,12.2913388,14,10,2.704094536,1.352047268,2.089527596,1.044763798,1.720787432,0.8112283608,2.335354372,1.1799685248,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,-1,-1,0,-2
"89","up2","10849602",1986,213,14,0,4,2,4,74.1784037558685,70.4225352112676,0.469483568075117,37.0892018779343,28.169014084507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"90","up2","10849602",1995,460,16,1,2,2,4,60.4347826086956,54.3478260869565,0.434782608695652,25.4347826086956,44.1304347826087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"91","up6","10849602",1972,9,6,0,3,0,0,44.4444444444444,33.3333333333333,11.1111111111111,0,55.5555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,1,-1,NA
"92","up6","10849602",1986,40,5,0,1,1,0,87.5,80,0,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"93","upper1","10849602",1972,0,0,0,0,0,0,0,NA,NA,NA,NA,26.7716544,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA
"94","upper3","10849602",1972,0,0,0,0,0,0,0,NA,NA,NA,NA,26.7716544,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA
"95","upper4","10849602",1972,47,7,1,0,1,1,89.3617021276596,89.3617021276596,0,42.5531914893617,10.6382978723404,26.7716544,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-5
"96","upper5","10849374",1972,13,5,0,0,1,1,61.5384615384615,61.5384615384615,0,53.8461538461538,38.4615384615385,9.823491,11.7881892,7.46585316,2.16116802,1.08058401,1.66999347,0.834996735,1.37528874,0.648350406,1.86646329,0.943055136,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,0,1,1,0,-1,1,-1
"97","upper5","10849374",1995,108,7,0,2,1,2,49.0740740740741,37.962962962963,0.925925925925926,12.962962962963,61.1111111111111,9.823491,11.7881892,7.46585316,2.16116802,1.08058401,1.66999347,0.834996735,1.37528874,0.648350406,1.86646329,0.943055136,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,1,1,1,0,-1,0,1
"98","upper6","10849378",1972,22,8,0,1,1,0,77.2727272727273,81.8181818181818,0,22.7272727272727,9.09090909090909,15.9776908,14,10,3,2,2.716207436,1.358103718,2,2,3.035761252,1.5338583168,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-5
"99","ur-4","10849602",1986,42,10,0,3,1,0,80.952380952381,83.3333333333333,2.38095238095238,59.5238095238095,7.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,0,1,NA
"100","ur-4","10849602",1995,58,6,0,2,1,0,94.8275862068966,89.6551724137931,3.44827586206897,44.8275862068966,6.89655172413793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,1,0,NA
"101","wall1","10849464",1972,2,1,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,-1,1,-1,-1,NA
"102","wall2","10849416",1972,114,3,0,1,0,0,98.2456140350877,98.2456140350877,0,0,1.75438596491228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"103","wall5","10849382",1986,25,5,0,1,1,0,96,88,0,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,0,NA
"104","wall5","10849382",1995,25,2,0,1,0,0,100,96,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"105","will2","10850148",1972,10,4,0,1,1,0,90,80,0,50,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,1,NA
