CreationDate,Site ,Type of Habitat ,Wetted Width ,Bankfull Width ,Depth  1,Depth 2,Depth3,Depth4,Depth5,Average Depth ,Type of Habitat ,Wetted Width ,Bankfull Width,Depth  1 ,Depth 2 ,Depth3,Depth4,Depth5,Average Depth ,Type of Habitat ,Wetted Width  ,Bankfull Width ,Depth  1,Depth 2,Depth3 ,Depth4 ,Depth5,Average Depth,Dominate Veg,Other - Dominate Veg,Surrounding Landuse ,Other - Surrounding Landuse ,In stream alterations ,Other - In stream alterations ,% canopy cover,Number of log jams ,Woody Debris Present ,"Bouler (10"")","Cobble(2.5""-10"")","Gravel(0.1""-2.5"")",Sand gritty (coarse),Siltgritty (fine),Clayslick,Total Substrate,Epifaunal Substrate/ Available Cover,Embeddedness ,Velocity/Depth Regime ,Sediment Deposition ,Channel Flow Status-Maintained Flow Volume Descriptions,Channel Flow Status-Flashiness ,Channel Alteration ,Frequency of Riffles or bends ,Left Bank Stability ,Right Bank Stability  ,Left Vegetative Protection,Right Vegetative Protection ,Left Riparian Zone,Right Riparian Zone ,Epifaunal Substrate/ Available Cover,Pool Substrate Characterization ,Pool Variability ,Sediment Deposition ,Channel Flow Status-Maintained Flow Volume ,Channel Flow Status-Flashiness  ,Channel Alteration ,Channel Sinuosity ,Left Bank Stability ,Right Bank Stability ,Left Vegetative Protection ,Right Vegetative Protection ,Left Riparian Zone ,Right Riparian Zone  ,Right Bank Height ,Left Bank Height ,Right Bank height,Left Bank Height ,Right Bank Height ,Left Bank Height ,Riparian Veg ,Untitled question 161,x,y
8/1/22,John1 ,Glide,10.8,14.4,0.4,0.5,0.4,0.3,0.2,0.36,Pool_,16.2,22.2,0.3,0.8,0.8,0.9,0.7,0.7,Riffle_,6.6,7.9,0.3,0.2,0.2,0.2,0.2,0.22,other,,Field/_Agricultural_,,"Channelization_,Log_Jams,other",Culvert,40,1,Yes,0,10,15,35,30,10,100,10,8,12,10,6,8,11,11,6,4,8,8,5,2,,10,10,,,,,10,,,,,,,3,4,2.7,3,0.9,1,,,-83.58153826,42.38958385
8/1/22,John10,Glide,16.9,23.7,0.3,0.5,0.6,0.2,0.2,0.36,Pool_,14.1,20.7,0.5,0.9,0.7,0.7,0.2,0.6,Glide,11.7,23.7,0.2,0.6,0.6,0.5,0.2,0.42,,,Forest,,"Log_Jams,Channelization_,Dams",,,,Yes,5,10,5,45,35,0,100,,0,,,,,,,,,,,,,4,7,8,6,5,3,11,5,3,3,4,5,7,7,2,3.2,4,3.5,3.9,16,,,0,0
8/1/22,Ton1,Glide,4.2,8.4,0.4,0.3,0.3,0.2,0.3,0.3,Glide,7.5,8.5,0.3,0.3,0.2,0.3,0.2,0.26,Glide,3.1,4.3,0.1,0.2,0.1,0.1,0.1,0.12,,,"Residential,other,Field/_Agricultural_",Park ,"Channelization_,Human_Debris_",,,,Yes,0,0,50,40,10,0,100,,,,,,,,,,,,,,,12,15,4,10,5,3,7,2,6,6,6,6,2,3,,,,,,,,,-83.49974606,42.36749487
8/1/22,Will1,Glide,7,19,0.3,0.2,0.35,0.25,0.1,0.24,Pool_,6.1,11.6,0.5,0.8,1.2,1.1,0.6,0.84,Pool_,12,18,1,1.4,1.6,1.3,1,1.26,,,Residential,,"Channelization_,other,Log_Jams",,,,Yes,0,0,25,35,20,20,100,,,,,,,,,,,,,,,4,7,11,5,3,2,7,10,3,2,2,1,2,1,3,2.5,3.7,0.5,2.4,1,,,-83.46375325,42.32981705
8/1/22,Ton3,Glide,8.4,31.5,0.3,0.5,0.4,0.2,0.1,0.3,Pool_,15.9,27,0.3,0.6,0.9,1.1,1.2,0.82,Glide,13.7,29.7,0.4,0.6,0.7,1,0.9,0.72,,,Forest,,Log_Jams,,,,Yes,0,0,15,75,5,5,100,,,,,,,,,,,,,,,4,6,10,11,5,2,14,11,2,1,6,6,9,9,,,,,,,,,0,0
8/1/22,Fel6 ,Glide,11.7,15,0.25,0.3,0.46,0.35,0.3,0.332,Glide,5.8,29.7,0.1,0.15,0.2,0.2,0.15,0.16,Glide,8.4,18,0.55,1.1,1.1,0.7,0.4,0.77,,,Forest,,Log_Jams,,,,Yes,2,5,8,60,20,5,100,,,,,,,,,,,,,,,4,7,7,8,4,1,13,12,2,3,6,6,6,6,,,,,,,,,0,0
8/2/22,Main6,Glide,32.7,38.4,0.4,0.4,0.7,1.3,1.6,0.88,Glide,33.6,44.7,2,2.3,2.1,1.2,1,1.72,Glide,33,33.9,0.6,1.1,2,4.7,5.5,2.78,,,"other,choice_6,Residential",Highway ,Channelization_,,,,Yes,30,0,10,30,30,0,100,,,,,,,,,,,,,,,6,9,13,7,4,1,1,3,6,4,4,6,1,3,4.2,4.6,3.7,3.3,4.8,3.8,"Grasses,Trees",,-83.28463438,42.47878923
8/2/22,Main19,Glide,29.7,39.9,0.3,0.3,0.2,1.1,0.3,0.44,Glide,32.4,47.4,0.2,0.7,0.4,0.2,0.7,0.44,Pool_,23.4,43.8,1,2,3.5,5,4.5,3.2,,,Forest,,"Log_Jams,Human_Debris_",,3,,Yes,0,5,20,45,30,0,100,,,,,,,,,,,,,,,11,10,12,8,6,6,13,12,6,7,6,7,9,9,5,5.4,4.5,5.4,5.5,4.4,"Trees,Grasses",,-83.30610375,42.4572831
8/2/22,MN-5,Glide,40.5,43.5,0.4,0.3,0.6,1.5,2,0.96,Glide,25.7,43.8,0.9,1.4,2.3,2.5,2.7,1.96,Glide,31.1,42.9,1.4,2.3,2.7,2.6,1.4,2.08,,,"Forest,Commercial_",,"Log_Jams,Channelization_",,2,,Yes,2.5,2.5,5,15,75,0,100,,,,,,,,,,,,,,,3,7,11,2,7,5,12,6,4,5,4,5,9,4,4.8,5.2,5.5,5,4.8,4,"Trees,Grasses",,-83.28541188,42.44362622
8/2/22,UR-1,Glide,14.2,31.8,0.5,0.7,0.7,0.7,0.4,0.6,Pool_,20.2,27.6,1.4,2.1,4.7,4.8,3.5,3.3,Glide,12.9,16,0.2,1.4,1.8,1.5,1.1,1.2,,,"Forest,Residential",,"Log_Jams,Human_Debris_,Channelization_",,3,,Yes,,,20,45,35,,,,,,,,,,,,,,,,,11,10,13,7,4,2,14,14,1,1,5,4,3,3,4.8,4.6,3,4.7,3.4,3.8,"Trees,Grasses",,-83.30142121,42.4100582
8/2/22,UR-2,Glide,21.3,55.2,0.7,0.9,0.6,0.4,0.2,0.56,Pool_,28.2,33.4,1.4,1.8,1.8,1.3,0.7,1.4,Glide,18,48.9,0.4,0.8,1.3,1.2,0.6,0.86,,,"Forest,other","Active restoration site, construction",Log_Jams,,2,,Yes,0,0,10,70,10,10,,,,,,,,,,,,,,,,9,9,6,8,4,2,19,12,3,2,5,3,7,5,5.1,5.6,6.2,5.5,5.2,4,"Trees,Shrubs,Grasses",,-83.31033051,42.40154903
8/2/22,MN-2,Glide,44.8,81,0.5,0.7,1.3,1.2,1.1,0.96,Glide,43.9,60.3,1.5,2,2.8,2.2,2.5,2.2,Glide,44.1,65,0.1,0.3,0.4,0.9,0.7,0.48,,,"Forest,other","Highway, bridge","Human_Debris_,Channelization_",,2,,Yes,,,10,30,30,30,,,,,,,,,,,,,,,,2,6,5,4,5,2,11,6,2,3,2,2,5,3,4.8,4.9,4.8,4.4,5.6,5.6,"Trees,Grasses,Shrubs",,-83.2718778,42.40019842
8/2/22,MN-7A,Glide,54.9,84.6,0.5,0.8,2.5,2.5,3.2,1.9,Glide,82.8,96.6,0.2,1.1,2,1.4,0.4,1.02,Glide,64,87,0.7,1.4,1.2,1,0.6,0.98,,,Forest,,"Human_Debris_,Channelization_,CSO,Log_Jams,Dams",,3,,Yes,12.5,,7.5,30,30,20,,,,,,,,,,,,,,,,8,6,3,4,5,3,6,1,6,8,3,6,8,9,5.3,6,3,5.4,5,5,"Trees,Grasses,Shrubs",,-83.2467975,42.34753675
8/2/22,Main20,Glide,78.9,84,,,,,,,Glide,63.2,67.8,,,,,,,Glide,64.2,66.2,,,,,,,,,"Forest,other",Highways ,"Channelization_,CSO",,,,Yes,,,,30,70,,,,,,,,,,,,,,,,,2,6,2,2,8,2,8,2,6,6,5,5,7,7,5,5.9,3.6,4,,,"Trees,Grasses,Shrubs",,-83.24079742,42.3297859
8/2/22,MR-15,Glide,43.5,52,0.6,0.6,0.7,0.8,1,0.74,Glide,51.9,59.9,1,0.9,1,1.4,0.8,1.02,Glide,49.8,51.9,0.4,1.5,0.9,0.8,0.7,0.86,,,Forest,,Channelization_,,2,,Yes,,5,,60,20,15,,,,,,,,,,,,,,,,6,7,5,9,8,1,13,6,8,3,7,6,8,8,3.4,4.2,5,4.1,5.4,4.3,"Trees,Shrubs,Grasses",,-83.24822192,42.33058757
8/3/22,MR-4 ,Riffle_,21.8,23.8,0.8,1,1,0.9,1,0.94,Glide,34.1,36,2.1,1.6,1.8,2,1.9,1.88,Glide,28.1,34.5,1.1,1.9,2,0.7,1.5,1.44,,,Forest,,"Channelization_,Human_Debris_,CSO",,2,,Yes,10,10,20,30,20,,,,,,,,,,,,,,,,,13,7,12,9,8,1,11,18,2,3,7,7,4,7,3,3.9,3.5,4.6,0.5,4.7,"Trees,Shrubs,Grasses","Hines drive. Very deep pools. 
",-83.40089909,42.36051193
8/3/22,MR-11,Glide,37,40,1.2,1.4,1.3,1.3,1.3,1.3,Pool_,30,34,0.9,1.2,1.3,1.4,1.4,1.24,Glide,29.7,35,0.9,1.3,2.1,2.2,1.4,1.58,,,"Forest,other",Park,Log_Jams,,2,,Yes,0,0,20,50,20,10,100,,,,,,,,,,,,,,,15,8,16,12,8,3,19,13,4,3,4,7,4,9,5.4,4,6.4,5.3,6.5,4.3,"Trees,Grasses,Shrubs",,-83.3648881,42.34527483
8/3/22,MR-9,Glide,49.3,63,1.4,1.3,1,1.4,0.5,1.12,Glide,27.1,52.8,2.5,2.9,1.1,1,0.7,1.64,Glide,49.2,51.6,1.1,1.5,1.7,1.2,0.9,1.28,,,"Forest,Residential",,CSO,,3,,Yes,5,0,20,40,25,10,100,,,,,,,,,,,,,,,10,7,15,12,8,0,16,9,4,0,4,1,7,5,5,5.5,6,4.7,5.4,4.6,"Trees,Grasses,Shrubs","Sheer cliffs
",-83.28767794,42.34646027
8/3/22,LR-11A,Pool_,37.2,41.2,2.9,1.4,2.4,3.8,5.1,3.12,Glide,26,45.9,2.4,2.4,2.4,2.7,2.5,2.48,Glide,28.2,56.7,0.8,2.7,2.8,2.6,2.5,2.28,,,"Forest,other,choice_6",Park ,"Human_Debris_,Channelization_",,2,,Yes,20,10,10,50,10,0,100,,,,,,,,,,,,,,,7,7,11,6,5,5,1,4,8,8,4,3,6,3,4.6,4.5,4,4.3,4.6,6.1,"Trees,Shrubs,Grasses","Highly channelized. Lots of riprap 
",0,0
8/3/22,Low14,Glide,52.5,57,1.6,1.9,2,1.9,0.9,1.66,Glide,35,36,1.4,2.1,1.7,1.5,1,1.54,Glide,32.4,38,1.4,2.4,1.9,1.9,1.4,1.8,,,"Forest,Commercial_,other",Golf course,"Channelization_,CSO,Log_Jams",,2,,Yes,30,5,20,30,15,0,100,,,,,,,,,,,,,,,13,8,4,7,9,3,1,2,4,2,5,3,1,4,5.5,5.3,12,4.4,4.4,5.3,"Trees,Shrubs",,-83.27052466,42.30180225
8/3/22,LR-10,Glide,50.7,57.7,0.8,0.7,1.5,1.4,0.8,1.04,Glide,41,46,0.3,0.7,1,1.1,0.8,0.78,Glide,44.8,48.8,0.3,0.8,1.1,1,1.2,0.88,,,"Field/_Agricultural_,Forest",,,,3,,Yes,5,5,30,40,20,0,100,,,,,,,,,,,,,,,16,9,12,12,9,2,18,17,7,3,3,5,5,9,6,3,4.5,4.6,5.1,4.5,"Trees,Shrubs,Grasses",,-83.30690376,42.29879577
8/3/22,LR-6,Glide,53.2,50.1,1.1,2.1,2.9,3.4,3,2.5,Riffle_,42.9,59.6,0.5,1.2,1.5,1.5,0.8,1.1,Glide,36.2,49.5,1.7,1.7,1.7,1.5,1.3,1.58,,,"Forest,Commercial_",,"Log_Jams,Channelization_",,0,,Yes,20,20,20,20,20,0,100,,,,,,,,,,,,,,,10,9,11,12,8,3,1,1,6,6,9,8,8,4,3.6,4.5,3,2,4,4.4,"Trees,Shrubs,Grasses","Second bank heights taken under bridge to top of rip rap. Banks stabilized due to human activity 
",-83.38224805,42.28495787
8/3/22,LR-12,Glide,29.8,32,1.3,0.8,1.2,1.6,1.3,1.24,Glide,34,36,0.9,1.3,1.4,1.5,1.4,1.3,Glide,23.7,35.7,0.5,1.6,2.5,2.4,1.2,1.64,,,Forest,,Human_Debris_,,3,,Yes,0,10,25,30,20,15,100,,,,,,,,,,,,,,,13,16,14,14,8,0,19,19,1,1,8,8,9,9,3.5,5.1,5.7,4,4.5,5.5,"Trees,Grasses,Shrubs",,-83.46593151,42.28187142
8/3/22,Fowl2,Glide,14.5,17.7,0.9,1,1,1,0.8,0.94,Glide,12.3,31.2,0.8,1,0.9,0.8,1.1,0.92,Glide,15.6,20.4,1.6,2.2,2.2,1.7,1.1,1.76,,,Forest,,"Log_Jams,Human_Debris_",,3,,Yes,0,0,5,35,50,10,100,,,,,,,,,,,,,,,3,6,1,2,5,2,10,2,4,4,2,2,7,7,6,4,4,4.6,5,4.5,"Trees,Shrubs",,-83.50474488,42.28218911
8/3/22,LR-2,Glide,24.3,45,0.2,1.9,2,1.6,1.4,1.42,Pool_,30.2,32.5,1,2.2,2.7,2.6,2,2.1,Glide,32.7,32.7,1,1.4,1.6,2,2.6,1.72,,,"Forest,Field/_Agricultural_,other",,"Log_Jams,Channelization_,Human_Debris_,other",Water treatment plant,2,,Yes,5,10,20,40,5,20,100,,,,,,,,,,,,,,,17,10,16,17,8,4,11,12,6,7,6,6,10,9,4.1,3.5,4.7,3.6,3.9,5,"Trees,Shrubs,Grasses","First glide is a run
",-83.50266417,42.28145008
8/9/22,John6,Glide,22,25,1.7,2.3,2.9,2.4,2.8,2.42,Glide,17.7,20,1.2,1.4,2.2,2,0.9,1.54,Glide,20.7,22.7,1.3,2.8,2.4,1,0.9,1.68,,,"Forest,Commercial_",,"Log_Jams,Channelization_",,2,,Yes,5,10,42.5,42.5,0,0,100,,,,,,,,,,,,,,,18,10,17,17,9,2,12,16,7,2,6,5,4,5,20,4.4,30,3,1,1.1,"Trees,Shrubs,Grasses","High water due recent rain 




",-83.48125293,42.42560312
8/9/22,MR-18,Glide,43,46.5,1.4,1.9,1.8,1.8,1.8,1.74,Glide,33,35,1,1.6,2.7,2.6,2.8,2.14,Glide,44.7,47,0.8,1.8,2.1,1.7,1.2,1.52,,,"Forest,other",Oark,Log_Jams,,2,,Yes,5,15,35,35,10,0,100,,,,,,,,,,,,,,,18,19,17,14,9,6,17,8,5,5,7,7,9,4,3.4,3.4,3.6,2.7,3.5,3.3,"Trees,Shrubs,Grasses",,-83.46691155,42.38882726
8/10/22,Main13,Glide,17.2,20.2,0.2,0.3,0.3,0.4,0.3,0.3,Glide,29.4,32.4,1,1.1,1,0.6,0.5,0.84,Pool_,24.6,28.6,1,1.4,1.6,1.2,0.8,1.2,,,"Commercial_,Residential",,,,0,,No_,0,0,50,30,15,5,100,,,,,,,,,,,,,,,11,12,12,6,5,5,13,7,2,4,6,8,1,4,5,0.5,4,5,1.5,5,"Trees,Shrubs,Grasses","Right next to dentist habitat seemed to change every 50 feet. 
",-83.1895364,42.59027391
8/10/22,Main18,Glide,13.2,20,0.2,0.6,1,1,0.7,0.7,Glide,16,18,1,0.9,0.8,0.6,0.7,0.8,Glide,17.5,21,0.2,0.6,1.1,1.3,1.1,0.86,,,Residential,,"Channelization_,Human_Debris_",,1,,Yes,5,5,15,35,35,5,100,,,,,,,,,,,,,,,11,12,10,6,5,5,12,9,7,7,8,8,1,2,1,1.6,0.5,2,0.2,2,"Shrubs,Trees,Grasses",,-83.19732362,42.58099515
8/10/22,Main11,Glide,25.3,30.9,0.5,0.5,0.8,1,1,0.76,Glide,21.6,29.6,0.1,0.4,0.7,0.6,0.5,0.46,Glide,17.1,19.1,0.7,1.5,1.7,1.9,2.1,1.58,,,"Forest,Residential",,Human_Debris_,,3,,Yes,2,8,40,25,25,0,100,,,,,,,,,,,,,,,11,9,11,9,9,5,14,16,7,7,6,6,4,2,1.8,2.2,2,0.4,1.6,1.5,"Trees,Shrubs,Grasses",,-83.22640082,42.55445833
8/10/22,Main3,Glide,27,28,0.5,0.6,0.6,0.3,0.2,0.44,Pool_,15.9,20,0.4,1,1.8,1.5,1.2,1.18,Glide,18.6,20,0.6,0.5,0.6,0.7,0.5,0.58,,,"Forest,Residential",,,,2,,Yes,5,15,45,20,13,2,100,,,,,,,,,,,,,,,11,7,17,13,9,5,12,17,6,6,6,6,5,5,3.9,4.4,4,2,1.9,1,"Trees,Shrubs,Grasses",,-83.22044533,42.54836718
8/10/22,Main5 ,Riffle_,24,26,0.4,1.2,2,2,1.6,1.44,Glide,23.2,26,1,1.2,0.7,0.7,0.6,0.84,Riffle_,15,17,0.6,1,1.1,1.3,0.9,0.98,,,Forest,,Channelization_,,3,,Yes,25,25,25,12.5,12.5,0,100,9,14,14,10,7,4,13,17,5,4,3,3,4,5,,,,,,,,,,,,,,,2.2,3.4,3.4,2.9,1.9,2.8,"Trees,Shrubs","Glides are actually runs
",0,0
8/10/22,Evan2,Glide,12.9,26.4,0.2,0.4,1,0.5,0.3,0.48,Pool_,18.6,22.6,1,2,1.7,0.8,0.5,1.2,Glide,9.9,18,0.5,0.8,0.7,0.5,0.4,0.58,,,"Forest,Commercial_",,Human_Debris_,,3,,Yes,5,5,25,30,5,30,100,,,,,,,,,,,,,,,3,4,9,6,4,1,16,12,1,1,2,2,8,8,4.5,6,4.6,6,2.4,4.6,"Trees,Grasses,Shrubs",,-83.24686282,42.47430278
8/10/22,Evan5,Glide,26.4,27.6,0.7,1,0.8,0.4,1.7,0.92,Glide,23.8,25,0.9,0.8,0.8,0.8,0.6,0.78,Pool_,22.4,27,0.8,1.1,1.3,1,0.5,0.94,,,"Commercial_,Forest",,,,2,,Yes,5,0,40,40,10,5,100,,,,,,,,,,,,,,,9,8,8,6,6,2,14,9,4,4,4,4,4,3,4.6,4.7,5,7,4.9,7,"Trees,Shrubs,Grasses",,-83.26109629,42.46788457
8/10/22,Frank1 ,Pool_,13.8,17.8,1.7,1.5,0.9,0.8,0.6,1.1,Glide,24.6,29,1,2.6,2.8,1.3,0.6,1.66,Glide,13.5,23,0.5,1,1.5,1.5,1.1,1.12,,,"Forest,Commercial_",,Channelization_,,2,,Yes,20,20,20,20,20,0,100,,,,,,,,,,,,,,,16,9,9,9,6,5,6,7,6,6,5,5,4,3,2.5,3,2.5,3,2.6,2,"Trees,Shrubs",,-83.30593683,42.53029584
8/11/22,Low2,Glide,4.6,8.6,0.2,0.2,0.2,0.2,0.2,0.2,Riffle_,2.5,8.9,0.1,0.1,0.1,0.1,0.1,0.1,Glide,5.6,12,0.3,0.2,0.2,0.2,0.1,0.2,,,Residential,,Log_Jams,,2,,Yes,2,0,0,20,78,0,100,,,,,,,,,,,,,,,5,6,1,5,4,4,5,4,6,6,7,7,1,5,0.4,2.4,0.4,2,2.7,3.4,"Trees,Grasses",,-83.53794038,42.30648379
8/11/22,l-5,Glide,10.5,12,0.4,0.6,0.6,0.5,0.4,0.5,Riffle_,8.4,10.2,0.3,0.3,0.3,0.2,0.2,0.26,Pool_,8.6,9.2,0.3,0.5,0.6,0.6,0.3,0.46,,,Commercial_,,Human_Debris_,,0,,,0,25,20,27.5,27.5,0,100,,,,,,,,,,,,,,,1,6,1,4,5,6,0,1,7,7,7,7,1,1,1.5,2.4,7,7,2.5,2,"Trees,Shrubs,Grasses","Highly inaized. Decide to use the big numbers of the small depending on bank 
",0,0
8/11/22,Fel4,Glide,8.4,16,0.7,0.7,0.9,1.4,1,0.94,Glide,10.2,18.3,1.8,2.8,3.8,2,2,2.48,Riffle_,9.3,10.5,1.2,1.3,1.4,1.1,1,1.2,,,"Forest,Residential",,Log_Jams,,3,,Yes,5,0,10,40,30,15,100,,,,,,,,,,,,,,,10,7,10,10,7,2,15,16,3,3,3,3,4,4,4.5,4.9,4.6,6,8,5,"Trees,Shrubs,Grasses",,-83.46576706,42.31299897
8/11/22,LR-5,Glide,17,22,1,1,1.7,2.2,2.4,1.66,Glide,16.8,19.5,2.3,2.8,2.8,2,1.5,2.28,Glide,21.9,24,1,2.7,2.7,2.3,0.9,1.92,,,Residential,,Log_Jams,,2,,Yes,20,0,15,27.5,27.5,10,100,,,,,,,,,,,,,,,6,6,11,6,6,1,11,8,4,4,2,2,4,3,6,2.6,5.8,5,4.6,5.5,"Trees,Shrubs","Very deep
Pools at the beginning 
",0,0
8/11/22,Fowl5,Glide,13.2,15.3,0.4,0.5,0.4,0.5,0.6,0.48,Glide,12.3,14.6,0.3,0.4,0.6,0.7,0.4,0.48,Glide,14,16,1.2,1.7,2.1,2.2,2.4,1.92,,,Forest,,"Log_Jams,Human_Debris_",,3,,Yes,0,0,10,60,30,,,,,,,,,,,,,,,,,7,7,6,7,4,2,13,10,5,5,4,4,6,6,4,3.2,3.8,4.4,4.2,4.8,"Trees,Shrubs,Grasses",,0,0
8/11/22,Fowl4,Glide,16.3,20,0.6,8,0.7,0.6,0.5,2.08,Glide,10.2,16,0.6,1.3,1.5,0.4,0.9,0.94,Riffle_,7.5,10.1,0.1,0.1,0.2,0.2,0.2,0.16,,,"Forest,Residential",,,,2,,Yes,0,0,25,50,25,,,,,,,,,,,,,,,,,6,6,5,5,4,3,14,7,3,4,4,5,,,2.3,2.7,5,1,2.6,3,"Shrubs,Trees",,0,0
8/12/22,Bell4,Glide,13.2,27.9,0.4,0.7,0.7,0.5,0.6,0.58,Glide,24,25.2,0.7,0.5,0.5,0.4,1,0.44,Glide,17.1,23.2,0.6,1,1.2,1.2,0.8,0.96,,,Residential,,,,2,,Yes,5,0,40,40,15,0,100,,,,,,,,,,,,,,,10,11,9,12,12,3,13,6,6,6,8,8,10,8,4.5,4,4.6,4.5,4.3,4.6,"Trees,Shrubs,Grasses",,0,0
8/12/22,Tar2,Glide,13.6,18,0.6,0.7,0.5,0.5,0.2,0.5,Riffle_,8.6,14.1,0.1,0.2,0.2,0.2,0.1,0.16,Riffle_,14.4,17,0.2,0.1,0.2,0.2,0.1,0.16,,,Commercial_,,Channelization_,,2,,Yes,10,10,40,40,0,0,100,8,12,7,8,5,3,11,14,3,5,2,3,3,3,,,,,,,,,,,,,,,2.8,4.8,2.1,4.3,3.2,2.8,"Shrubs,Grasses,Trees",,0,0
8/12/22,Up1,Pool_,15.9,24.6,0.9,1.9,2,2,1.8,1.72,Glide,19.5,21,1,1.2,1.4,1.7,1.2,1.3,Pool_,18,20,2.1,2.4,2.5,2.2,2.3,2.3,,,Forest,,Channelization_,,3,,Yes,2,0,45,45,8,0,100,,,,,,,,,,,,,,,18,16,8,13,8,2,14,8,7,7,6,6,10,10,2.6,3.5,3.2,2.6,2.6,3,"Trees,Shrubs,Grasses",,0,0
8/12/22,Min2,Glide,15.9,17,0.7,1,1,1,1,0.94,Pool_,15.9,17,1.2,1.7,1.6,1.3,0.9,1.34,Glide,14.7,16,0.6,0.7,1,1,0.6,0.78,,,Forest,,,,,,Yes,5,10,35,20,30,0,100,,,,,,,,,,,,,,,10,6,5,7,8,2,14,6,8,8,5,3,9,1,2.2,1.6,3.8,1.4,2.2,2.1,"Trees,Shrubs,Grasses",,0,0
8/12/22,Peb2,Glide,15.6,18.8,0.3,0.5,0.6,0.4,0.3,0.42,Glide,11.1,17.7,0.8,1,1,0.6,0.2,0.72,Pool_,21.6,40,1.6,1.7,2,1.4,0.8,1.5,,,"Forest,Residential",,Human_Debris_,,3,,Yes,3,0,58,20,20,0,101,11,7,6,8,4,4,12,11,7,6,3,3,4,4,,,,,,,,,,,,,,,4.8,2.1,5,2.6,2.6,1.9,"Trees,Shrubs,Grasses",Right bank is almost a bluff. Pipe/hose discharging water from house. ,0,0
8/12/22,See3,Pool_,16,16.5,1,1.7,1.8,2.1,2,1.72,Glide,5,16,0.9,1,0.7,0.2,1,0.76,Glide,6.7,10,0.4,0.4,0.7,1.1,0.9,0.7,,,"Residential,Forest",,,,2,,Yes,10,5,35,35,0,15,100,6,11,7,6,5,1,10,12,4,6,2,4,6,6,,,,,,,,,,,,,,,0.5,1.7,5.2,3.6,1.5,6,"Trees,Shrubs,Grasses",,0,0
8/12/22,Bish2,Glide,13.2,18,0.3,0.5,0.5,0.6,0.5,0.48,Riffle_,11.9,15,0.5,0.5,0.5,0.3,0.3,0.42,Glide,10.1,17.5,0.7,0.7,0.6,0.6,0.4,0.6,,,Residential,,Channelization_,,2,,No_,35,12.5,20,20,12.5,0,100,,,,,,,,,,,,,,,5,6,5,6,7,4,7,12,7,7,7,7,7,7,1.6,2.2,2.2,1.5,1,2,"Trees,Shrubs,Grasses",,0,0
8/12/22,Wall2,Pool_,14.8,17,0.7,0.9,1,1.1,0.9,0.92,Glide,7.6,9.9,0.9,1.3,1,0.5,0.2,0.78,Glide,11.4,15.3,0.2,0.4,0.6,1,1,0.64,,,,,,,,,,3,0,80,17,0,0,100,15,17,6,11,7,3,14,13,6,4,6,4,9,4,,,,,,,,,,,,,,,2.2,1,1.6,1.8,2.6,3.8,,,0,0
8/12/22,Bell4,Glide,9.8,21.9,0.9,0.8,0.5,0.2,0.3,0.54,Glide,20.4,21.4,0.3,0.3,0.4,0.3,0.2,0.3,Pool_,14.1,29,0.9,1.4,1.6,1.1,0.4,1.08,,,Residential,,"Log_Jams,Human_Debris_",,2,,Yes,5,0,15,75,5,0,100,,,,,,,,,,,,,,,4,4,7,6,8,2,12,6,7,3,5,3,10,1,3.2,4.4,4.6,4.5,2.7,4.2,"Grasses,Trees",,0,0
,Main12,,80,,,,,,,,,75,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main12N,,63,,,,,,,,,120,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main10,,96,,,,,,,,,101,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main21,,99,,,,,,,,,100,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,